['so-called', 'VBN']     ['so-called', 'JJ']
['fixed', 'VBD']     ['fixed', 'VBN']
['to', 'IN']     ['to', 'TO']
['concern', 'NN']     ['concern', 'VBP']
['to', 'IN']     ['to', 'TO']
['served', 'VBD']     ['served', 'VBN']
['operating', 'NN']     ['operating', 'VBG']
['to', 'IN']     ['to', 'TO']
['real-estate', 'JJ']     ['real-estate', 'NN']
['Co', 'NN']     ['Co', 'NNP']
['depressed', 'VBN']     ['depressed', 'JJ']
['bank', 'NN']     ['bank', 'VBP']
['loan-loss', 'JJ']     ['loan-loss', 'NN']
['to', 'IN']     ['to', 'TO']
['loan-loss', 'JJ']     ['loan-loss', 'NN']
['operating', 'NN']     ['operating', 'VBG']
['to', 'IN']     ['to', 'TO']
['reserve', 'NNP']     ['reserve', 'NN']
['bank', 'NN']     ['bank', 'VBP']
['representing', 'NN']     ['representing', 'VBG']
['only', 'JJ']     ['only', 'RB']
['Look', 'NNP']     ['Look', 'VB']
['to', 'IN']     ['to', 'TO']
['dived', 'VBN']     ['dived', 'VBD']
['Including', 'NNP']     ['Including', 'VBG']
['had', 'VBD']     ['had', 'VBN']
['management-led', 'VBD']     ['management-led', 'JJ']
['buy-out', 'RB']     ['buy-out', 'NN']
['through', 'RP']     ['through', 'IN']
['buy-out', 'JJ']     ['buy-out', 'NN']
['collapsed', 'VBN']     ['collapsed', 'VBD']
['about', 'IN']     ['about', 'RB']
['close', 'RB']     ['close', 'NN']
['paltry', 'NN']     ['paltry', 'JJ']
['stock-option', 'JJ']     ['stock-option', 'NN']
['right', 'JJ']     ['right', 'NN']
['That', 'WDT']     ['That', 'DT']
['to', 'IN']     ['to', 'TO']
['combined', 'JJ']     ['combined', 'VBN']
['buy-out', 'JJ']     ['buy-out', 'NN']
['close', 'RB']     ['close', 'NN']
['buy-out', 'JJ']     ['buy-out', 'NN']
['many', 'JJ']     ['many', 'NN']
['so', 'IN']     ['so', 'RB']
['to', 'IN']     ['to', 'TO']
['as', 'RB']     ['as', 'IN']
